PlayerUrl,PlayerName,Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Summery-Performance-Gls,Summery-Performance-Ast,Summery-Performance-PK,Summery-Performance-PKatt,Summery-Performance-Sh,Summery-Performance-SoT,Summery-Performance-CrdY,Summery-Performance-CrdR,Summery-Performance-Touches,Summery-Performance-Press,Summery-Performance-Tkl,Summery-Performance-Int,Summery-Performance-Blocks,Summery-Expected-xG,Summery-Expected-npxG,Summery-Expected-xA,Summery-SCA-SCA,Summery-SCA-GCA,Summery-Passes-Cmp,Summery-Passes-Att,Summery-Passes-Cmp%,Summery-Passes-Prog,Summery-Carries-Carries,Summery-Carries-Prog,Summery-Dribbles-Succ,Summery-Dribbles-Att,Passing-Total-Cmp,Passing-Total-Att,Passing-Total-Cmp%,Passing-Total-TotDist,Passing-Total-PrgDist,Passing-Short-Cmp,Passing-Short-Att,Passing-Short-Cmp%,Passing-Medium-Cmp,Passing-Medium-Att,Passing-Medium-Cmp%,Passing-Long-Cmp,Passing-Long-Att,Passing-Long-Cmp%,Passing-Ast,Passing-xA,Passing-KP,Passing-1/3,Passing-PPA,Passing-CrsPA,Passing-Prog,PassingTypes-PassAttempted,PassingTypes-PassTypes-Live,PassingTypes-PassTypes-Dead,PassingTypes-PassTypes-FK,PassingTypes-PassTypes-TB,PassingTypes-PassTypes-Press,PassingTypes-PassTypes-Sw,PassingTypes-PassTypes-Crs,PassingTypes-PassTypes-CK,PassingTypes-CornerKicks-In,PassingTypes-CornerKicks-Out,PassingTypes-CornerKicks-Str,PassingTypes-Height-Ground,PassingTypes-Height-Low,PassingTypes-Height-High,PassingTypes-BodyParts-Left,PassingTypes-BodyParts-Right,PassingTypes-BodyParts-Head,PassingTypes-BodyParts-TI,PassingTypes-BodyParts-Other,PassingTypes-Outcomes-Cmp,PassingTypes-Outcomes-Off,PassingTypes-Outcomes-Out,PassingTypes-Outcomes-Int,PassingTypes-Outcomes-Blocks,GCA-SCATypes-SCA,GCA-SCATypes-PassLive,GCA-SCATypes-PassDead,GCA-SCATypes-Drib,GCA-SCATypes-Sh,GCA-SCATypes-Fld,GCA-SCATypes-Def,GCA-GCATypes-GCA,GCA-GCATypes-PassLive,GCA-GCATypes-PassDead,GCA-GCATypes-Drib,GCA-GCATypes-Sh,GCA-GCATypes-Fld,GCA-GCATypes-Def,Defence-Tackles-Tkl,Defence-Tackles-TklW,Defence-Tackles-Def-3rd,Defence-Tackles-Mid-3rd,Defence-Tackles-Att-3rd,Defence-VsDribbles-Tkl,Defence-VsDribbles-Att,Defence-VsDribbles-Tkl%,Defence-VsDribbles-Past,Defence-Pressures-Press,Defence-Pressures-Succ,Defence-Pressures-%,Defence-Pressures-Def-3rd,Defence-Pressures-Mid-3rd,Defence-Pressures-Att-3rd,Defence-Blocks-Blocks,Defence-Blocks-Sh,Defence-Blocks-ShSv,Defence-Blocks-Pass,Defence-Int,Defence-Tkl+Int,Defence-Clr,Defence-Err,Possession-Touches-Touches,Possession-Touches-Def-Pen,Possession-Touches-Def-3rd,Possession-Touches-Mid-3rd,Possession-Touches-Att-3rd,Possession-Touches-Att-Pen,Possession-Touches-Live,Possession-Dribbles-Succ,Possession-Dribbles-Att,Possession-Dribbles-Succ%,Possession-Dribbles-#Pl,Possession-Dribbles-Megs,Possession-Carries-Carries,Possession-Carries-TotDist,Possession-Carries-PrgDist,Possession-Carries-Prog,Possession-Carries-1/3,Possession-Carries-CPA,Possession-Carries-Mis,Possession-Carries-Dis,Possession-Receiving-Targ,Possession-Receiving-Rec,Possession-Receiving-Rec%,Possession-Receiving-Prog,Misc-Performance-CrdY,Misc-Performance-CrdR,Misc-Performance-2CrdY,Misc-Performance-Fls,Misc-Performance-Fld,Misc-Performance-Off,Misc-Performance-Crs,Misc-Performance-Int,Misc-Performance-TklW,Misc-Performance-PKwon,Misc-Performance-PKcon,Misc-Performance-OG,Misc-Performance-Recov,Misc-AerialDuels-Won,Misc-AerialDuels-Lost,Misc-AerialDuels-Won%
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-08-09,Sun,Premier League,Matchweek 1,Away,W 1–0,Liverpool,Stoke City,Y,RB,90.0,0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,2.0,3.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-08-17,Mon,Premier League,Matchweek 2,Home,W 1–0,Liverpool,Bournemouth,Y,RB,90.0,0,0,0,0,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,3.0,3.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-08-24,Mon,Premier League,Matchweek 3,Away,D 0–0,Liverpool,Arsenal,Y,RM,90.0,0,0,0,0,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,2.0,1.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-08-29,Sat,Premier League,Matchweek 4,Home,L 0–3,Liverpool,West Ham,Y,CB,90.0,0,0,0,0,0.0,0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,4.0,1.0,1.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-05,Sat,Euro Qualifying,Group stage,Away,W 6–0,eng England,sm San Marino,Y,RB,90.0,0,0,0,0,2.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-08,Tue,Euro Qualifying,Group stage,Home,W 2–0,eng England,ch Switzerland,Y,RB,67.0,0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-12,Sat,Premier League,Matchweek 5,Away,L 1–3,Liverpool,Manchester Utd,Y,LB,90.0,0,0,0,0,1.0,0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,2.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-20,Sun,Premier League,Matchweek 6,Home,D 1–1,Liverpool,Norwich City,Y,RB,90.0,0,0,0,0,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,1.0,2.0,2.0,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-23,Wed,League Cup,Third round,Home,D 1 (3)–1 (2),Liverpool,Carlisle United,Y,,85.0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
https://fbref.com/en/players/0442183b,Nathaniel Clyne,2015-2016,2015-09-26,Sat,Premier League,Matchweek 7,Home,W 3–2,Liverpool,Aston Villa,Y,DM,90.0,0,0,0,0,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,3.0,3.0,,,0.0,,,,
